CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"12420,""Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)"",61468832,63385295,65153877,68520899,74249376,83401265,87065576,90385187,88156567,93427854,97420914,100427386,105495060,111176129,120013418,126238282,131820200,139619168,146516364,149800709,165604422"
"12540,""Bakersfield, CA (Metropolitan Statistical Area)"",27651931,31074712,30772705,33320481,35506212,40304624,44041478,42722024,45552481,43467286,42644421,46566041,45534651,45615554,45836337,45928331,46642499,46682682,47993863,48039393,47528806"
"12580,""Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"",131684133,135284184,138046159,142658454,148646790,151931225,152506859,154760780,153026008,158940861,161984025,163424445,166048933,168707817,172796673,178331783,181492691,183778448,185632374,177312397,185182016"
"12620,""Bangor, ME (Metropolitan Statistical Area)"",5628410,5795993,5791699,5991298,6084998,6050153,6047799,5878782,5871871,5847990,5709094,5619131,5585159,5610621,5599530,5693159,5758134,5886484,6021102,6014583,6309265"
"12700,""Barnstable Town, MA (Metropolitan Statistical Area)"",11078518,11185396,11199937,11503339,11325811,10824672,10863587,11315958,10778677,11066483,11273372,11181438,11240442,11473287,11566624,11555157,11486279,11753488,12089470,11317461,12083714"
"12940,""Baton Rouge, LA (Metropolitan Statistical Area)"",37594354,40288517,42083681,46638093,51412833,50285521,45792021,44654369,44867984,47302082,52370076,52351595,52309526,57883591,57579256,55231723,52191823,54789978,53731952,48949605,49407726"
"12980,""Battle Creek, MI (Metropolitan Statistical Area)"",5634514,5733763,5789728,5938632,6076150,6141996,6144219,5972082,5480005,5608166,5453674,5416624,5514335,5546892,5696846,5812059,5799358,5847535,5852564,5827577,6494551"
"13020,""Bay City, MI (Metropolitan Statistical Area)"",3594543,3607906,3642963,3653970,3691280,3683378,3649420,3501302,3450785,3558086,3557398,3552592,3554386,3377796,3360927,3365241,3278740,3326198,3253450,3189973,3427207"
"13140,""Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"",23700503,22677151,23155523,27603913,24791145,24463720,26421236,25400444,24990865,26978497,27335421,28582878,28685207,23579432,23387811,24203455,25156163,26055239,25666421,21933114,21220825"
"13220,""Beckley, WV (Metropolitan Statistical Area)"",3761238,3815892,3758625,3859729,4031223,4055302,4092507,4304737,4187548,4353307,4443085,4317458,4123828,3912078,3767630,3582806,3747764,3815737,3906935,3709836,3838171"
"13380,""Bellingham, WA (Metropolitan Statistical Area)"",8005248,8535873,8685606,8825251,10806934,9727493,9897594,9797600,10056647,10478480,9685889,9649943,9575572,9681280,10013138,10654916,11411114,12428854,13229471,12222012,13143464"
"13460,""Bend, OR (Metropolitan Statistical Area)"",4593588,4797833,5031274,5235090,5756889,6158351,6363217,6245018,5675957,5494360,5556646,5693865,6062880,6634881,7135387,7793418,8461182,8815791,9338006,9384596,10243131"
"13740,""Billings, MT (Metropolitan Statistical Area)"",6940033,7038226,7545160,7960232,7932521,8221893,9048305,8691096,8088304,8404954,8855698,8928813,9112388,9608541,10114592,9413505,10205589,10292664,9743657,9490772,9970238"
"13780,""Binghamton, NY (Metropolitan Statistical Area)"",8416136,8392930,8384010,8454799,8527865,8869045,9214111,9852770,9833483,10397721,10290864,10391155,10380280,10262698,10228822,9949894,9902566,10083802,10265600,9780539,10284622"
"13820,""Birmingham-Hoover, AL (Metropolitan Statistical Area)"",46045709,47574818,48322659,50872665,52738651,52563274,53238801,53029783,50517036,50791378,52072432,53135280,52814350,52644183,53310062,53838609,54591801,55645242,56168212,55066482,58050905"
