CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
Metropolitan Statistical Area
GeoFips,GeoName,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021
"12420,""Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)"",3.1,2.8,5.2,8.4,12.3,4.4,3.8,-2.5,6.0,4.3,3.1,5.0,5.4,7.9,5.2,4.4,5.9,4.9,2.2,10.5"
"12540,""Bakersfield, CA (Metropolitan Statistical Area)"",12.4,-1.0,8.3,6.6,13.5,9.3,-3.0,6.6,-4.6,-1.9,9.2,-2.2,0.2,0.5,0.2,1.6,0.1,2.8,0.1,-1.1"
"12580,""Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)"",2.7,2.0,3.3,4.2,2.2,0.4,1.5,-1.1,3.9,1.9,0.9,1.6,1.6,2.4,3.2,1.8,1.3,1.0,-4.5,4.4"
"12620,""Bangor, ME (Metropolitan Statistical Area)"",3.0,-0.1,3.4,1.6,-0.6,0.0,-2.8,-0.1,-0.4,-2.4,-1.6,-0.6,0.5,-0.2,1.7,1.1,2.2,2.3,-0.1,4.9"
"12700,""Barnstable Town, MA (Metropolitan Statistical Area)"",1.0,0.1,2.7,-1.5,-4.4,0.4,4.2,-4.7,2.7,1.9,-0.8,0.5,2.1,0.8,-0.1,-0.6,2.3,2.9,-6.4,6.8"
"12940,""Baton Rouge, LA (Metropolitan Statistical Area)"",7.2,4.5,10.8,10.2,-2.2,-8.9,-2.5,0.5,5.4,10.7,0.0,-0.1,10.7,-0.5,-4.1,-5.5,5.0,-1.9,-8.9,0.9"
"12980,""Battle Creek, MI (Metropolitan Statistical Area)"",1.8,1.0,2.6,2.3,1.1,0.0,-2.8,-8.2,2.3,-2.8,-0.7,1.8,0.6,2.7,2.0,-0.2,0.8,0.1,-0.4,11.4"
"13020,""Bay City, MI (Metropolitan Statistical Area)"",0.4,1.0,0.3,1.0,-0.2,-0.9,-4.1,-1.4,3.1,0.0,-0.1,0.1,-5.0,-0.5,0.1,-2.6,1.4,-2.2,-2.0,7.4"
"13140,""Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"",-4.3,2.1,19.2,-10.2,-1.3,8.0,-3.9,-1.6,8.0,1.3,4.6,0.4,-17.8,-0.8,3.5,3.9,3.6,-1.5,-14.5,-3.2"
"13220,""Beckley, WV (Metropolitan Statistical Area)"",1.5,-1.5,2.7,4.4,0.6,0.9,5.2,-2.7,4.0,2.1,-2.8,-4.5,-5.1,-3.7,-4.9,4.6,1.8,2.4,-5.0,3.5"
"13380,""Bellingham, WA (Metropolitan Statistical Area)"",6.6,1.8,1.6,22.5,-10.0,1.7,-1.0,2.6,4.2,-7.6,-0.4,-0.8,1.1,3.4,6.4,7.1,8.9,6.4,-7.6,7.5"
"13460,""Bend, OR (Metropolitan Statistical Area)"",4.4,4.9,4.1,10.0,7.0,3.3,-1.9,-9.1,-3.2,1.1,2.5,6.5,9.4,7.5,9.2,8.6,4.2,5.9,0.5,9.1"
"13740,""Billings, MT (Metropolitan Statistical Area)"",1.4,7.2,5.5,-0.3,3.6,10.1,-3.9,-6.9,3.9,5.4,0.8,2.1,5.4,5.3,-6.9,8.4,0.9,-5.3,-2.6,5.1"
"13780,""Binghamton, NY (Metropolitan Statistical Area)"",-0.3,-0.1,0.8,0.9,4.0,3.9,6.9,-0.2,5.7,-1.0,1.0,-0.1,-1.1,-0.3,-2.7,-0.5,1.8,1.8,-4.7,5.2"
"13820,""Birmingham-Hoover, AL (Metropolitan Statistical Area)"",3.3,1.6,5.3,3.7,-0.3,1.3,-0.4,-4.7,0.5,2.5,2.0,-0.6,-0.3,1.3,1.0,1.4,1.9,0.9,-2.0,5.4"
"13900,""Bismarck, ND (Metropolitan Statistical Area)"",2.8,7.1,4.6,2.2,2.5,0.5,2.5,3.0,2.8,5.3,13.0,1.7,8.4,3.5,-4.9,-0.7,-2.4,-1.3,-3.6,3.7"
"13980,""Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *"",1.0,5.5,0.3,5.5,3.2,3.1,-6.0,-6.6,1.5,3.3,-1.6,0.6,0.5,3.1,-0.1,2.3,5.1,-1.5,-3.6,8.5"
"14010,""Bloomington, IL (Metropolitan Statistical Area)"",2.8,3.4,4.1,0.9,7.6,-0.4,-2.6,0.9,3.7,0.0,2.4,-0.9,10.8,7.8,3.0,-1.4,3.6,0.1,-8.2,4.1"
"14020,""Bloomington, IN (Metropolitan Statistical Area)"",2.6,3.9,3.5,4.9,3.0,-2.2,-1.0,-0.5,1.3,1.0,-0.1,1.5,5.4,-1.1,2.7,4.3,3.3,-0.4,-3.6,3.7"
"14100,""Bloomsburg-Berwick, PA (Metropolitan Statistical Area)"",5.8,0.0,5.8,1.7,4.9,-1.6,1.1,-0.2,4.4,2.8,-0.3,1.8,-1.7,1.5,-0.9,0.9,-0.8,2.0,-4.9,6.2"
"14260,""Boise City, ID (Metropolitan Statistical Area)"",2.5,6.5,8.1,10.7,0.7,1.1,3.2,-4.8,1.0,0.0,0.6,4.2,4.3,1.2,4.2,3.9,7.8,4.3,1.3,9.0"
"14460,""Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)"",-0.3,2.0,3.4,2.5,2.8,3.3,1.5,-1.2,5.0,2.0,2.4,0.5,1.7,4.0,2.0,1.9,4.4,3.0,-2.4,7.3"
"14500,""Boulder, CO (Metropolitan Statistical Area) *"",-6.7,1.5,2.9,2.2,2.8,6.4,4.7,-1.8,2.3,0.7,0.4,3.0,3.0,4.0,3.0,5.8,3.0,6.9,-2.3,7.9"
"14540,""Bowling Green, KY (Metropolitan Statistical Area)"",3.4,4.4,4.9,6.3,5.3,-0.4,0.1,-7.2,9.7,-1.6,3.8,1.9,1.6,0.0,2.3,3.5,-1.7,5.4,-1.3,5.8"
"14740,""Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)"",5.4,1.9,4.7,3.8,-0.2,0.6,5.4,-2.6,0.1,-0.5,-1.3,-1.0,0.2,2.9,4.6,0.5,2.3,1.2,2.4,2.9"
"14860,""Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)"",0.2,-0.6,5.5,3.2,3.9,4.4,2.1,-5.5,-2.0,-5.9,3.2,-3.1,-0.5,1.2,-0.6,0.6,1.6,0.6,-8.5,5.0"
"15180,""Brownsville-Harlingen, TX (Metropolitan Statistical Area)"",4.9,1.6,1.5,2.5,5.3,-0.7,0.7,-0.3,4.4,2.9,1.0,1.2,0.0,0.1,2.5,-0.3,1.7,2.5,0.6,6.0"
"15260,""Brunswick, GA (Metropolitan Statistical Area)"",2.4,5.1,6.4,2.6,4.2,-0.9,-4.1,-2.0,1.4,-2.9,-1.9,-0.1,-0.1,5.0,-1.6,2.6,2.3,-1.6,-3.1,4.5"
"15380,""Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)"",2.6,1.1,3.1,-0.6,2.0,0.9,1.1,0.2,2.8,-1.0,2.2,-0.4,2.3,1.4,1.1,-0.6,1.1,2.6,-3.4,5.3"
"15500,""Burlington, NC (Metropolitan Statistical Area)"",5.3,-0.1,5.3,1.2,3.2,-1.5,-1.4,-7.4,4.0,2.5,-0.7,4.0,1.7,-0.6,3.7,-1.3,0.5,3.0,-1.2,8.1"
